Date,Ticker
11/05/2018,EW2K8
14/05/2018,E3AK8
16/05/2018,E3CK8
18/05/2018,EW3K8
21/05/2018,E4AK8
23/05/2018,E4CK8
25/05/2018,EW4K8
30/05/2018,E5CK8
31/05/2018,EWK8
01/06/2018,EW1M8
04/06/2018,E2AM8
06/06/2018,E2CM8
08/06/2018,EW2M8
11/06/2018,E3AM8
13/06/2018,E3CM8
15/06/2018,ESM8
18/06/2018,E4AM8
20/06/2018,E4CM8
22/06/2018,EW4M8
25/06/2018,E5AM8
27/06/2018,E5CM8
29/06/2018,EWM8
02/07/2018,E1AN8
06/07/2018,EW1N8
09/07/2018,E2AN8
11/07/2018,E2CN8
13/07/2018,EW2N8
16/07/2018,E3AN8
18/07/2018,E3CN8
20/07/2018,EW3N8
23/07/2018,E4AN8
25/07/2018,E4CN8
27/07/2018,EW4N8
30/07/2018,E5AN8
31/07/2018,EWN8
01/08/2018,E1CQ8
03/08/2018,EW1Q8
06/08/2018,E2AQ8
08/08/2018,E2CQ8
10/08/2018,EW2Q8
13/08/2018,E3AQ8
15/08/2018,E3CQ8
17/08/2018,EW3Q8
20/08/2018,E4AQ8
22/08/2018,E4CQ8
24/08/2018,EW4Q8
27/08/2018,E5AQ8
29/08/2018,E5CQ8
31/08/2018,EWQ8
05/09/2018,E1CU8
07/09/2018,EW1U8
10/09/2018,E2AU8
12/09/2018,E2CU8
14/09/2018,EW2U8
17/09/2018,E3AU8
19/09/2018,E3CU8
21/09/2018,ESU8
24/09/2018,E4AU8
26/09/2018,E4CU8
28/09/2018,EWU8
01/10/2018,E1AV8
03/10/2018,E1CV8
05/10/2018,EW1V8
08/10/2018,E2AV8
10/10/2018,E2CV8
12/10/2018,EW2V8
15/10/2018,E3AV8
17/10/2018,E3CV8
19/10/2018,EW3V8
22/10/2018,E4AV8
24/10/2018,E4CV8
26/10/2018,EW4V8
29/10/2018,E5AV8
31/10/2018,EWV8
02/11/2018,EW1X8
05/11/2018,E2AX8
07/11/2018,E2CX8
09/11/2018,EW2X8
12/11/2018,E3AX8
14/11/2018,E3CX8
16/11/2018,EW3X8
19/11/2018,E4AX8
21/11/2018,E4CX8
23/11/2018,EW4X8
26/11/2018,E5AX8
28/11/2018,E5CX8
30/11/2018,EWX8
03/12/2018,E1AZ8
05/12/2018,E1CZ8
07/12/2018,EW1Z8
10/12/2018,E2AZ8
12/12/2018,E2CZ8
14/12/2018,EW2Z8
17/12/2018,E3AZ8
19/12/2018,E3CZ8
21/12/2018,ESZ8
24/12/2018,E4AZ8
26/12/2018,E4CZ8
28/12/2018,EW4Z8
31/12/2018,EWZ8
02/01/2019,E1CF9
04/01/2019,EW1F9
07/01/2019,E2AF9
09/01/2019,E2CF9
11/01/2019,EW2F9
14/01/2019,E3AF9
16/01/2019,E3CF9
18/01/2019,EW3F9
23/01/2019,E4CF9
25/01/2019,EW4F9
28/01/2019,E5AF9
30/01/2019,E5CF9
31/01/2019,EWF9
01/02/2019,EW1G9
04/02/2019,E2AG9
06/02/2019,E2CG9
08/02/2019,EW2G9
11/02/2019,E3AG9
13/02/2019,E3CG9
15/02/2019,EW3G9
20/02/2019,E4CG9
22/02/2019,EW4G9
25/02/2019,E5AG9
27/02/2019,E5CG9
28/02/2019,EWG9
01/03/2019,EW1H9
04/03/2019,E2AH9
06/03/2019,E2CH9
08/03/2019,EW2H9
11/03/2019,E3AH9
13/03/2019,E3CH9
15/03/2019,ESH9
18/03/2019,E4AH9
20/03/2019,E4CH9
22/03/2019,EW4H9
25/03/2019,E5AH9
